job_id,job_title,company,location,experience,salary_inr,employment_type,skills,salary_lpa
JOB00001,AI/ML Engineer,NextGen Systems,Chennai,0-1 years,402451,Full-time,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git,4.02451
JOB00002,AI/ML Engineer,InnoByte,Mumbai,1-3 years,1769141,Full-time,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git,17.69141
JOB00003,Software Developer,DataBridge,Mumbai,3-5 years,808517,Full-time,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA,8.08517
JOB00004,Cloud Engineer,DataBridge,Pune,3-5 years,1229796,Contract,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; Statistics,12.29796
JOB00005,Software Developer,NextGen Systems,Chennai,0-1 years,1063557,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; PyTorch,10.63557
JOB00006,Software Developer,InnoByte,Hyderabad,1-3 years,1146765,Internship,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA,11.46765
JOB00007,Data Analyst,VisionWorks,Mumbai,0-1 years,1880358,Contract,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization,18.80358
JOB00008,Software Developer,InnoByte,Bengaluru,3-5 years,1827594,Full-time,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; Pandas; Linux,18.27594
JOB00009,Data Analyst,DataBridge,Remote,0-1 years,2143731,Contract,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization,21.43731
JOB00010,Data Analyst,DataBridge,Delhi NCR,1-3 years,1095056,Internship,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization; Networking; Docker; Terraform,10.95056
JOB00011,AI/ML Engineer,CloudPeak,Mumbai,3-5 years,1627440,Full-time,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git,16.2744
JOB00012,Full Stack Developer,Aster Labs,Remote,0-1 years,1785740,Full-time,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Power BI; Machine Learning; Linux,17.8574
JOB00013,Software Developer,DataBridge,Mumbai,3-5 years,488807,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; Power BI; Networking,4.88807
JOB00014,Full Stack Developer,CloudPeak,Chennai,3-5 years,905493,Internship,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Power BI; Python; Deep Learning,9.05493
JOB00015,Cloud Engineer,DataBridge,Chennai,3-5 years,1109161,Contract,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; REST API; PyTorch,11.09161
JOB00016,Software Developer,InnoByte,Chennai,3-5 years,2155863,Full-time,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA,21.55863
JOB00017,AI/ML Engineer,VisionWorks,Mumbai,1-3 years,1599668,Internship,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; CSS; Power BI; Statistics,15.99668
JOB00018,Software Developer,NextGen Systems,Remote,3-5 years,1779650,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA,17.7965
JOB00019,Software Developer,TechNova,Delhi NCR,3-5 years,1301527,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; PyTorch; Excel,13.01527
JOB00020,Cloud Engineer,NextGen Systems,Remote,3-5 years,573159,Internship,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; Scikit-learn,5.73159
JOB00021,Cloud Engineer,CloudPeak,Mumbai,3-5 years,1134154,Full-time,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; Excel,11.34154
JOB00022,Cloud Engineer,Aster Labs,Remote,1-3 years,584603,Full-time,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; SQL; CSS,5.84603
JOB00023,Software Developer,VisionWorks,Remote,0-1 years,529628,Internship,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; Data Visualization,5.29628
JOB00024,Full Stack Developer,CloudPeak,Hyderabad,3-5 years,1503021,Internship,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Scikit-learn,15.03021
JOB00025,Data Scientist,DataBridge,Delhi NCR,1-3 years,1933905,Contract,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; Terraform,19.33905
JOB00026,AI/ML Engineer,InnoByte,Chennai,0-1 years,1296835,Full-time,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; React; Statistics,12.96835
JOB00027,Data Analyst,DataBridge,Mumbai,0-1 years,1583772,Full-time,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization,15.83772
JOB00028,Software Developer,InnoByte,Bengaluru,1-3 years,830125,Full-time,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA,8.30125
JOB00029,Cloud Engineer,VisionWorks,Chennai,3-5 years,1752948,Full-time,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; Node.js,17.52948
JOB00030,AI/ML Engineer,InnoByte,Bengaluru,3-5 years,749318,Contract,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; HTML; Scikit-learn; REST API,7.49318
JOB00031,Data Analyst,InnoByte,Bengaluru,1-3 years,1762147,Internship,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization; NumPy; PyTorch; Azure,17.62147
JOB00032,Data Analyst,DataBridge,Chennai,3-5 years,871470,Contract,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization,8.7147
JOB00033,Full Stack Developer,InnoByte,Pune,3-5 years,873882,Full-time,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Docker; Machine Learning; Python,8.73882
JOB00034,Software Developer,DataBridge,Chennai,1-3 years,545586,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA,5.45586
JOB00035,Data Scientist,CloudPeak,Pune,0-1 years,472967,Contract,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; Networking,4.72967
JOB00036,Data Analyst,DataBridge,Hyderabad,0-1 years,674632,Full-time,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization; Linux; NumPy; REST API,6.74632
JOB00037,Cloud Engineer,Aster Labs,Bengaluru,0-1 years,1918618,Internship,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform,19.18618
JOB00038,Data Scientist,InnoByte,Remote,0-1 years,1414993,Full-time,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; Azure,14.14993
JOB00039,Cloud Engineer,DataBridge,Pune,0-1 years,1766023,Internship,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform,17.66023
JOB00040,Full Stack Developer,InnoByte,Pune,3-5 years,1648937,Internship,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API,16.48937
JOB00041,Cloud Engineer,Aster Labs,Chennai,1-3 years,1754517,Contract,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; Node.js; JavaScript,17.54517
JOB00042,Full Stack Developer,InnoByte,Bengaluru,1-3 years,1926774,Internship,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Python; NumPy,19.26774
JOB00043,Cloud Engineer,DataBridge,Mumbai,1-3 years,503638,Full-time,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform,5.03638
