job_id,job_title,company,location,experience,salary_inr,employment_type,skills
JOB00001,AI/ML Engineer,NextGen Systems,Chennai,0-1 years,402451,Full-time,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git
JOB00002,AI/ML Engineer,InnoByte,Mumbai,1-3 years,1769141,Full-time,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git
JOB00003,Software Developer,DataBridge,Mumbai,3-5 years,808517,Full-time,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA
JOB00004,Cloud Engineer,DataBridge,Pune,3-5 years,1229796,Contract,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; Statistics
JOB00005,Software Developer,NextGen Systems,Chennai,0-1 years,1063557,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; PyTorch
JOB00006,Software Developer,InnoByte,Hyderabad,1-3 years,1146765,Internship,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA
JOB00007,Data Analyst,VisionWorks,Mumbai,0-1 years,1880358,Contract,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization
JOB00008,Software Developer,InnoByte,Bengaluru,3-5 years,1827594,Full-time,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; Pandas; Linux
JOB00009,Data Analyst,DataBridge,Remote,0-1 years,2143731,Contract,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization
JOB00010,Data Analyst,DataBridge,Delhi NCR,1-3 years,1095056,Internship,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization; Networking; Docker; Terraform
JOB00011,AI/ML Engineer,CloudPeak,Mumbai,3-5 years,1627440,Full-time,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git
JOB00012,Full Stack Developer,Aster Labs,Remote,0-1 years,1785740,Full-time,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Power BI; Machine Learning; Linux
JOB00013,Software Developer,DataBridge,Mumbai,3-5 years,488807,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; Power BI; Networking
JOB00014,Full Stack Developer,CloudPeak,Chennai,3-5 years,905493,Internship,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Power BI; Python; Deep Learning
JOB00015,Cloud Engineer,DataBridge,Chennai,3-5 years,1109161,Contract,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; REST API; PyTorch
